,energy_per_capita,gdp_per_capita
89,953.2015476190476,1015.9503609139048
59,7502.305404761904,7693.203562260035
36,106799.60884482758,24808.737198419305
92,892.8429047619048,1536.5759444780153
123,98663.45189655172,39032.01053093522
31,30147.765534482758,8053.8745970341615
183,62241.703844827585,39151.27946520915
211,85724.04310344828,22678.846854289124
194,24301.073379310346,11071.924425714107
26,16127.5489,7736.446084066165
96,27122.967137931035,9858.610981259575
190,38282.32296551724,17550.354163173346
55,633.5403571428571,1128.9038367952621
225,14583.801,13204.730128389328
34,1168.2324761904763,2083.955391966212
101,10325.924103448277,9681.687535640536
132,3105.0916428571427,2159.819169993587
168,31807.31934482759,10684.800066790649
143,7666.1598125,7349.75761804726
151,397.1404047619048,1257.4998929899486
40,199.16480952380954,1165.6489859147432
125,522.606238095238,1874.4011217662933
182,2423.2233095238093,2576.819044143527
129,526.7415714285714,1131.8293706461802
156,14861.433090909091,9360.756086767713
158,100393.32606896551,27876.958704076194
28,11388.046310344827,7742.648526756193
166,6330.500724137932,5965.819373769937
234,34577.956333333335,5225.1343406957085
43,8325.127603448276,7071.6531656776915
115,22662.72326315789,15275.893017036213
90,865.0785238095239,1207.8835824056512
3,10146.486586206896,10015.733228670928
83,26475.041931034484,11416.772783941527
155,10892.531095238095,2858.283468202232
127,20095.11755172414,10306.970214346265
58,7428.747428571429,6016.894076318373
17,1158.8248846153847,2312.306306553245
112,96142.55018965517,67939.76202757782
229,3724.2821724137934,3754.1878180768513
174,56748.586473684205,15604.269673760153
136,10470.2358,4546.4304579766795
218,471.09292857142856,1370.8548431109018
188,692.5574761904762,1197.0882098895436
228,28386.435120689654,12470.483557053822
68,4934.4170476190475,6258.701509485048
152,2130.945333333333,4024.5897231725385
217,48286.90062962963,10968.043777363098
94,3858.5053095238095,3461.456185762248
162,3200.4408000000003,4577.9406697487375
165,18121.633285714284,6628.8333277702395
99,4238.704896551724,4579.579938665943
67,53914.63844736842,18955.310680012535
65,12314.818404761903,14403.717898825256
117,1190.349238095238,1925.112408784371
20,61256.29867241379,18241.988802519107
185,25867.106,8898.907928620409
35,1745.52,2980.4914590136
171,182211.8350862069,140001.74720747094
32,453.35557142857147,1209.2912207281943
25,5398.342,3459.9593307855207
108,39620.72686842105,14701.786057114694
73,58019.70053448276,26955.885877321267
106,39956.184224137935,17899.153100574946
5,2535.296261904762,4061.900654839125
236,4495.943357142857,2601.0608413138525
207,693.7969999999999,2020.9615616402161
12,59874.966224137934,25146.20979662895
98,3307.4444655172415,2274.20384530869
105,13886.77157142857,6378.758555741799
116,13204.150666666666,9972.044771068562
173,23943.655155172415,5635.830039175062
19,31745.495447368423,12188.509007444518
184,1996.1283809523807,2135.0735895793528
204,11081.164071428571,9611.260192266598
22,1261.5130714285715,1741.4429464484888
0,910.7443333333334,1697.266675265441
126,547.5612380952381,974.0131685116074
205,33849.23568965517,17339.191816928455
63,6868.958689655172,8034.7892881534935
18,23200.231095238094,11679.788399114566
141,1682.4140714285716,1959.9526284691299
49,21923.88618181818,14608.870859616161
80,48505.574137931035,17875.781215668438
56,41751.68070689656,21570.218561133173
233,3019.9038333333333,3531.574963929978
95,27344.4319137931,28811.17618058513
2,11497.375261904763,6086.503745748458
167,3369.180775862069,4209.88736378244
191,39027.334484848485,22673.815810212633
220,123871.2465862069,87525.53824599565
57,7141.351952380953,2045.7645926121074
145,673.9227142857143,2064.5291096689716
8,18279.45479310345,11875.585275900063
206,9321.674833333333,2585.6734940015263
27,7622.229047619047,10321.745740882301
53,51765.18129310345,17358.38532084916
74,44134.47910344828,18960.37707480876
187,35663.59690476191,14224.051736902999
178,7811.922785714285,6870.632649182746
48,2045.701761904762,3957.8365966912274
41,15614.077224137933,10550.232165757072
160,40590.91718965518,32015.245433605414
44,844.3189047619047,1346.5245876527451
199,2491.3073448275863,5421.4280887172945
175,412.4651904761905,1280.4809600978392
209,1009.8315714285715,1165.5466679264741
45,2645.556642857143,5509.390964556128
202,69310.85801724138,19831.383042709014
42,11695.396551724138,5040.638146828855
137,21594.73669047619,5545.995131437629
114,4558.707880952381,2994.3707345419443
109,1594.894880952381,2178.696964220358
161,2850.6517413793104,4296.3708096275805
208,9735.091689655172,10778.95828150028
232,18031.288068965518,12392.218283241296
102,35009.17101724138,19087.57268868188
107,12432.85657142857,8178.360939673702
37,3853.384547619048,3845.256562567058
113,12447.297166666665,3654.738676105827
222,87638.96822413792,29498.28298929249
226,20912.204105263158,6390.824740603873
54,59397.32961538462,8235.18290119828
81,2125.1923333333334,3210.5612611341867
198,28587.914344827583,13899.44102767802
120,30175.308210526317,15266.473062316403
100,19626.74674137931,13703.41198893116
119,34703.50338095238,14982.464484900132
50,11300.662523809524,3904.240131032418
33,228.6772619047619,1056.7313957831002
16,146821.78164285715,30469.782276907332
142,1363.9150238095237,2610.8849484535895
97,106241.00212068965,29061.358435907845
163,23739.72711904762,11524.426031606414
64,4744.5285476190475,5432.415186589616
